index,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date,Location
18,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
19,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
20,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
21,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
22,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
23,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
24,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
25,51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,3046233461,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"1 MEDICAL CENTER DRIVE
CLARKSBURG, WV
"
26,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,363,567,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
27,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,200,566,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
28,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,63,594,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
29,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
30,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
31,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
32,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
33,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
34,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
35,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
36,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
37,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
38,10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,1,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,4/1/2016,3/31/2017,"10000 BAY PINES BLVD.
BAY PINES, FL
"
39,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,266,633,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
40,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,161,632,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
41,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,95,484,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
42,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
43,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
44,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
45,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
46,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
47,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
48,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
49,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
50,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
51,44016F,MOUNTAIN HOME VA MEDICAL CENTER,CORNER OF LAMONT STREET AND VE,MOUNTAIN HOME,TN,37684,WASHINGTON,4239261171,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,3,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,4/1/2016,3/31/2017,"CORNER OF LAMONT STREET AND VE
MOUNTAIN HOME, TN
"
52,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,198,422,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
53,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,139,417,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
54,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,89,299,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
55,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,90,324,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
56,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,32,347,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
57,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department (ED) Measures,OP-21,Median time to pain med,46,15,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
58,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,2,1 - The number of cases/patients is too few to report.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
59,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
60,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
61,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
62,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,99,199,,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
63,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,6,229,,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
64,17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Blood clot prevention and treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"5500 E. KELLOG
WICHITA, KS
"
65,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department (ED) Measures,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,263,601,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
66,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department (ED) Measures,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,179,601,2 - Data submitted were based on a sample of cases/patients.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
67,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Preventative Care Measures,IMM-2,Patients assessed and given influenza vaccination,84,538,2 - Data submitted were based on a sample of cases/patients.,10/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
68,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department (ED) Measures,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
69,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department (ED) Measures,OP-20,Door to diagnostic eval,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
70,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department (ED) Measures,OP-21,Median time to pain med,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
71,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department (ED) Measures,OP-23,Head CT results,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
72,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Acute Myocardial Infarction (AMI),OP-1,Median Time to Fibrinolysis,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
73,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Acute Myocardial Infarction (AMI),OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
74,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Acute Myocardial Infarction (AMI),OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
75,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Acute Myocardial Infarction (AMI),OP-4,Aspirin at Arrival,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
76,26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Acute Myocardial Infarction (AMI),OP-5,Median Time to ECG,Not Available,Not Available,7 - No cases met the criteria for this measure.,4/1/2016,3/31/2017,"4801 LINWOOD BLVD.
KANSAS CITY, MO
"
